chunk,instruction
"# ROS 2 Documentation

This repository contains the sources for the ROS 2 documentation that is hosted at [https://docs.ros.org/en](https://docs.ros.org/en).
The sources from this repository are built and uploaded to the site nightly by a [Jenkins job](https://build.ros.org/job/doc_ros2doc).

## Contributing to the documentation

Contributions to this site are most welcome.
Please see the [Contributing to ROS 2 Documentation](https://docs.ros.org/en/rolling/The-ROS2-Project/Contributing/Contributing-To-ROS-2-Documentation.html) page to learn more.

## Contributing to ROS 2

To contribute to the ROS 2 source code project please refer to the [ROS 2 contributing guidelines](https://docs.ros.org/en/rolling/The-ROS2-Project/Contributing.html).

## Prerequisites

To build this you need to install

* make
* graphviz

With [venv](https://docs.python.org/3/library/venv.html)

```
# activate the venv
python3 -m venv ros2doc

# activate venv
source ros2doc/bin/activate

# install required packages
pip install -r requirements.txt -c constraints.txt

# deactivate the venv
(ros2doc) deactivate
```

### Pinned versions

For development we currently use Noble as our build platform.
And all python versions are pinned in the constraints file to make sure that things are reproducible.
To upgrade the system validate that things are working and then use `pip freeze > constraints.txt` to lock in the versions to upgrade.

## Building HTML

### Local development test

For local testing of the current tree use:

`make html`

`sensible-browser build/html/index.html`

### Deployment test

To test building the multisite version deployed to the website use:

`make multiversion`

`sensible-browser build/html/rolling/index.html`

**NB:** This will ignore local workspace changes and build from the branches.
",What prerequisites are needed to build the ROS 2 documentation?
".. _citation:

Citations
=========

If you use ROS 2 in your work please cite the 2022 Science Robotics paper `Robot Operating System 2: Design, architecture, and uses in the wild <https://www.science.org/doi/10.1126/scirobotics.abm6074>`_.

    | S. Macenski, T. Foote, B. Gerkey, C. Lalancette, W. Woodall, ""Robot Operating System 2: Design, architecture, and uses in the wild,"" Science Robotics vol. 7, May 2022.

.. code-block:: bibtex

    @article{doi:10.1126/scirobotics.abm6074,
        author = {Steven Macenski and Tully Foote and Brian Gerkey and Chris Lalancette and William Woodall},
        title = {Robot Operating System 2: Design, architecture, and uses in the wild},
        journal = {Science Robotics},
        volume = {7},
        number = {66},
        pages = {eabm6074},
        year = {2022},
        doi = {10.1126/scirobotics.abm6074},
        URL = {https://www.science.org/doi/abs/10.1126/scirobotics.abm6074}
    }


If you use ROS 2 Composition in your work, please cite the 2023 IEEE RA-L paper `Impact of ROS 2 Node Composition in Robotic Systems <https://arxiv.org/abs/2305.09933>`_.

    | S. Macenski, A. Soragna, M. Carroll, Z. Ge, ""Impact of ROS 2 Node Composition in Robotic Systems"", IEEE Robotics and Autonomous Letters (RA-L), 2023.

.. code-block:: bibtex

    @article{doi:10.48550/arXiv.2305.09933,
        author = {Steven Macenski and Alberto Soragna and Michael Carroll and Zhenpeng Ge},
        title = {Impact of ROS 2 Node Composition in Robotic Systems},
        journal = {IEEE Robotics and Autonomous Letters (RA-L)},
        year = {2023},
        doi = {10.48550/arXiv.2305.09933},
        URL = {https://arxiv.org/abs/2305.09933}
    }
",What citation is recommended for those using ROS 2 Composition in their work?
".. _InstallationGuide:
.. _RollingInstall:

Installation
============

Options for installing ROS 2 {DISTRO_TITLE_FULL}:

.. toctree::
   :hidden:
   :glob:

   Installation/Ubuntu-Install-Debs
   Installation/Windows-Install-Binary
   Installation/RHEL-Install-RPMs
   Installation/Alternatives
   Installation/Maintaining-a-Source-Checkout
   Installation/Testing
   Installation/DDS-Implementations

Binary packages
---------------

Binaries are only created for the Tier 1 operating systems listed in `REP-2000 <https://www.ros.org/reps/rep-2000.html#rolling-ridley-june-2020-ongoing>`__.
Given the nature of Rolling, this list may be updated at any time.
If you are not running any of the following operating systems you may need to build from source or use a :doc:`container solution <How-To-Guides/Run-2-nodes-in-single-or-separate-docker-containers>` to run ROS 2 on your platform.

We provide ROS 2 binary packages for the following platforms:

* Ubuntu Linux - Noble Numbat (24.04)

  * :doc:`deb packages <Installation/Ubuntu-Install-Debs>` (recommended)
  * :doc:`binary archive <Installation/Alternatives/Ubuntu-Install-Binary>`

* RHEL 9

  * :doc:`RPM packages <Installation/RHEL-Install-RPMs>` (recommended)
  * :doc:`binary archive <Installation/Alternatives/RHEL-Install-Binary>`

* Windows 10

  * :doc:`Windows Binary (VS 2019) <Installation/Windows-Install-Binary>`

.. _building-from-source:

Building from source
--------------------

We support building ROS 2 from source on the following platforms:

* :doc:`Ubuntu Linux 24.04 <Installation/Alternatives/Ubuntu-Development-Setup>`
* :doc:`Windows 10 <Installation/Alternatives/Windows-Development-Setup>`
* :doc:`RHEL-9/Fedora <Installation/Alternatives/RHEL-Development-Setup>`
* :doc:`macOS <Installation/Alternatives/macOS-Development-Setup>`

Which install should you choose?
--------------------------------

Installing from binary packages or from source will both result in a fully-functional and usable ROS 2 install.
Differences between the options depend on what you plan to do with ROS 2.

**Binary packages** are for general use and provide an already-built install of ROS 2.
This is great for people who want to dive in and start using ROS 2 as-is, right away.

Linux users have two options for installing binary packages:

- Packages (debs or RPMS, depending on the platform)
- binary archive

Installing from packages is the recommended method, as it installs necessary dependencies automatically and also updates alongside regular system updates.
However, you need root access in order to install deb packages.
If you don't have root access, the binary archive is the next best choice.

Windows users who choose to install from binary packages only have the binary archive option
(deb packages are exclusive to Ubuntu/Debian).

**Building from source** is meant for developers looking to alter or explicitly omit parts of ROS 2's base.
It is also recommended for platforms that don't support binaries.
Building from source also gives you the option to install the absolute latest version of ROS 2.

Contributing to ROS 2 core?
^^^^^^^^^^^^^^^^^^^^^^^^^^^

If you plan to contribute directly to ROS 2 core packages, you can install the :doc:`latest development from source <Installation/Alternatives/Latest-Development-Setup>` which shares installation instructions with the :ref:`Rolling distribution <rolling_distribution>`.
",Which options are available for installing ROS 2 {DISTRO_TITLE_FULL} on different platforms according to the document provided?
"
Related Projects
================

Gazebo
------

**Gazebo** `(gazebosim.org) <http://gazebosim.org/>`_ and its predecessor Gazebo Classic are the first open source choice for 3D physics simulation of ROS-based robots.

Large Community Projects
------------------------

Large community projects involve multiple developers from all over the globe and are typically backed by a dedicated working group (cf. :doc:`The-ROS2-Project/Governance`).

* **ros2_control** `(control.ros.org) <https://control.ros.org/>`_: Flexible framework for real-time control of robots implemented with ROS 2.
* **Navigation2** `(nav2.org) <https://nav2.org/>`_: Comprehensive and flexible navigation stack for mobile robots using ROS 2.
* **MoveIt** `(moveit.ai) <https://moveit.ai/>`_: A rich platform for building manipulation applications featuring advanced kinematics, motion planning, control, collision checking, and much more.
* **micro-ROS** `(micro.ros.org) <https://micro.ros.org/>`_: A platform for putting ROS 2 onto microcontrollers, starting at less than 100 kB of RAM.

Further Community Projects
--------------------------

The global ROS community develops and maintains hundreds of further packages on top of the core ROS 2 stack.
Some of them come with their own websites for documentation.
Your best entry point to discover these works is the **ROS Index** `(index.ros.org) <https://index.ros.org/packages/>`_.

*Hint for developers:* If you maintain a ``README.md`` file in the root of your package folder (which is not necessarily the root of your repository), this file is rendered into the overview page of your package at `index.ros.org <https://index.ros.org/packages/>`_.
The file may be used for documenting your package and supersedes the package documentation pages in the ROS Wiki from ROS 1.
See the `fmi_adapter package <https://index.ros.org/p/fmi_adapter/github-boschresearch-fmi_adapter/#foxy>`_ as an example.

Company-driven Projects
-----------------------

.. toctree::
   :maxdepth: 1

   Related-Projects/Intel-ROS2-Projects
   Related-Projects/Nvidia-ROS2-Projects
   Related-Projects/Visualizing-ROS-2-Data-With-Foxglove
","What is the purpose of the Gazebo project and its predecessor, Gazebo Classic?"
"Glossary
========

.. include:: ../global_substitutions.txt

Glossary of terms used throughout this documentation:

.. glossary::

   API
       An API, or Application Programming Interface, is an interface that is provided by an ""application"", which in this case is usually a shared library or other language appropriate shared resource. APIs are made up of files that define a contract between the software using the interface and the software providing the interface. These files typically manifest as header files in C and C++ and as Python files in Python. In either case it is important that APIs are grouped and described in documentation and that they are declared as either public or private. Public interfaces are subject to change rules and changes to the public interfaces prompt a new version number of the software that provides them.

   client_library
       A client library is an :term:`API` that provides access to the ROS graph using primitive middleware concepts like Topics, Services, and Actions.

   package
       A single unit of software, including source code, build system files, documentation, tests, and other associated resources.

   REP
        ROS Enhancement Proposal. A document that describes an enhancement, standardization, or convention for the ROS community.
        The associated REP approval process allows the community to iterate on a proposal until some consensus has been made, at which point it can be ratified and implemented, which then becomes documentation.
        All REPs are viewable from the `REP index <http://www.ros.org/reps/rep-0000.html>`_.

   VCS
       Version Control System, such as CVS, SVN, git, mercurial, etc...

   rclcpp
       The C++ specific :term:`Client Library <client_library>` for ROS. This includes any middleware related APIs as well as the related message generation of C++ data structures based on interface definitions like Messages, Services, and Actions.

   repository
       A collection of packages usually managed using a :term:`VCS` like git or mercurial and usually hosted on a site like GitHub or BitBucket.
       In the context of this document, repositories usually contain one or more |packages| of one type or another.
",What is the definition of a client library according to the provided glossary?
"Concepts
========

Conceptual overviews provide relatively high-level, general background information about key aspects of ROS 2.

.. toctree::
   :maxdepth: 1

   Concepts/Basic
   Concepts/Intermediate
   Concepts/Advanced


Related Content
^^^^^^^^^^^^^^^

:doc:`See the ROS 2 citations <Citations>` for more explanation of concepts and citable resources.

For a brief video introduction to ROS 2, see this community contributed content:

* `Getting started with ROS Part 1: Nodes, Parameters and Topics <https://youtu.be/46TPAKXBOF8>`_
* `Getting started with ROS Part 2: Services and Actions <https://youtu.be/keZAJ83eEoM>`_
",What type of information do conceptual overviews provide about key aspects of ROS 2?
".. _Tutorials:

Tutorials
=========

The tutorials are a collection of step-by-step instructions meant to steadily build skills in ROS 2.

The best way to approach the tutorials is to walk through them for the first time in order, as they build off of each other and are not meant to be comprehensive documentation.

For quick solutions to more specific questions, see the :doc:`How-To-Guides`.

.. toctree::
   :maxdepth: 2

   Tutorials/Beginner-CLI-Tools
   Tutorials/Beginner-Client-Libraries
   Tutorials/Intermediate
   Tutorials/Advanced
   Tutorials/Demos
   Tutorials/Miscellaneous

Examples
--------

* `Python and C++ minimal examples <https://github.com/ros2/examples>`__.
",What is the purpose of the tutorials in ROS 2 and how are they recommended to be approached?
".. redirect-from::

  Guides

.. _How-to Guides:

How-to Guides
=============

How-to Guides provide direct and modular answers to ""How-to"" questions regarding key aspects of ROS 2.
They contain succinct steps to help you accomplish important tasks quickly.

How-to Guides are meant for users who already have some knowledge of ROS 2 and just want to find out how to implement something specific.
They will not go in-depth by providing background information or teaching how a concept ties into the greater ROS 2 ecosystem.

If you are new and looking to learn the ropes, start with the :doc:`Tutorials <Tutorials>` for a more well-rounded progression through ROS 2.



.. toctree::
   :maxdepth: 1

   How-To-Guides/Installation-Troubleshooting
   How-To-Guides/Developing-a-ROS-2-Package
   How-To-Guides/Documenting-a-ROS-2-Package
   How-To-Guides/Ament-CMake-Documentation
   How-To-Guides/Ament-CMake-Python-Documentation
   How-To-Guides/Migrating-from-ROS1
   How-To-Guides/Launch-file-different-formats
   How-To-Guides/Launching-composable-nodes
   How-To-Guides/Node-arguments
   How-To-Guides/Sync-Vs-Async
   How-To-Guides/DDS-tuning
   How-To-Guides/Overriding-QoS-Policies-For-Recording-And-Playback
   How-To-Guides/Working-with-multiple-RMW-implementations
   How-To-Guides/Cross-compilation
   How-To-Guides/Releasing/Releasing-a-Package
   How-To-Guides/Using-Python-Packages
   How-To-Guides/Run-2-nodes-in-single-or-separate-docker-containers
   How-To-Guides/Core-maintainer-guide
   How-To-Guides/Building-a-Custom-Deb-Package
   How-To-Guides/Building-ROS-2-with-Tracing
   How-To-Guides/Topics-Services-Actions
   How-To-Guides/Using-Variants
   How-To-Guides/Using-ros2-param
   How-To-Guides/Using-ros1_bridge-Jammy-upstream
   How-To-Guides/Configure-ZeroCopy-loaned-messages
   How-To-Guides/Installing-on-Raspberry-Pi
   How-To-Guides/Using-callback-groups
   How-To-Guides/Getting-Backtraces-in-ROS-2
   How-To-Guides/ROS-2-IDEs
   How-To-Guides/Setup-ROS-2-with-VSCode-and-Docker-Container
   How-To-Guides/Using-Custom-Rosdistro
",What is the purpose of How-To Guides in relation to ROS 2 users' knowledge levels and objectives?
"The ROS 2 Project
=================

Check out the resources below to learn more about the advancement of the ROS 2 project.

.. toctree::
   :maxdepth: 1

   The-ROS2-Project/Contributing
   The-ROS2-Project/Features
   The-ROS2-Project/Feature-Ideas
   The-ROS2-Project/Roadmap
   The-ROS2-Project/ROSCon-Content
   The-ROS2-Project/Governance
   The-ROS2-Project/Marketing
   The-ROS2-Project/Metrics
",What are the different resources available to learn more about the advancement of the ROS 2 project?
".. _Releases:

Distributions
=============

What is a Distribution?
-----------------------

A ROS distribution is a versioned set of ROS packages.
These are akin to Linux distributions (e.g. Ubuntu).
The purpose of the ROS distributions is to let developers work against a relatively stable codebase until they are ready to roll everything forward.
Therefore once a distribution is released, we try to limit changes to bug fixes and non-breaking improvements for the core packages (every thing under ros-desktop-full).
That generally applies to the whole community, but for ""higher"" level packages, the rules are less strict, and so it falls to the maintainers of a given package to avoid breaking changes.

.. _list_of_distributions:

List of Distributions
---------------------

Below is a list of current and historic ROS 2 distributions.
Rows in the table marked in green are the currently supported distributions.

.. toctree::
   :hidden:

   Releases/Release-Jazzy-Jalisco
   Releases/Release-Iron-Irwini
   Releases/Release-Humble-Hawksbill
   Releases/Release-Rolling-Ridley
   Releases/Development
   Releases/End-of-Life
   Releases/Release-Process

.. raw:: html

   <!--
     This CSS overrides the styles of certain rows to mark them green, indicating they are supported releases.
     For the odd number rows, a line like the following must be used:

       .rst-content table.docutils:not(.field-list) tr:nth-child(1) td {background-color: #33cc66;}

     For the even number rows, a line like the following must be used:

       .rst-content tr:nth-child(2) {background-color: #33cc66;}

     No other combination I've found has worked.  Yes, this is extremely fragile.  No, I don't understand
     why it is like this.
   -->
   <style>
     .rst-content table.docutils:not(.field-list) tr:nth-child(1) td {background-color: #33cc66;}
     .rst-content table.docutils:not(.field-list) tr:nth-child(3) td {background-color: #33cc66;}
     .rst-content tr:nth-child(2) {background-color: #33cc66;}
     .rst-content tr:nth-child(3) {background-color: #33cc66;}
   </style>

.. |rolling| image:: Releases/rolling-small.png
   :alt: Rolling logo

.. |jazzy| image:: Releases/jazzy-small.png
   :alt: Jazzy logo

.. |iron| image:: Releases/iron-small.png
   :alt: Iron logo

.. |humble| image:: Releases/humble-small.png
   :alt: Humble logo

.. |galactic| image:: Releases/galactic-small.png
   :alt: Galactic logo

.. |foxy| image:: Releases/foxy-small.png
   :alt: Foxy logo

.. |eloquent| image:: Releases/eloquent-small.png
   :alt: Eloquent logo

.. |dashing| image:: Releases/dashing-small.png
   :alt: Dashing logo

.. |crystal| image:: Releases/crystal-small.png
   :alt: Crystal logo

.. |bouncy| image:: Releases/bouncy-small.png
   :alt: Bouncy logo

.. |ardent| image:: Releases/ardent-small.png
   :alt: Ardent logo

.. list-table::
   :class: distros
   :header-rows: 1
   :widths: 35 25 30 20 10

   * - Distro
     - Release date
     - Logo
     - EOL date
     - ROS Boss
   * - :doc:`Jazzy Jalisco <Releases/Release-Jazzy-Jalisco>`
     - May 23, 2024
     - |jazzy|
     - May 2029
     - `Marco A. Gutiérrez <https://github.com/marcoag>`_
   * - :doc:`Iron Irwini <Releases/Release-Iron-Irwini>`
     - May 23, 2023
     - |iron|
     - November 2024
     - `Yadunund Vijay <https://github.com/Yadunund>`_
   * - :doc:`Humble Hawksbill <Releases/Release-Humble-Hawksbill>`
     - May 23, 2022
     - |humble|
     - May 2027
     - `Audrow Nash <https://github.com/audrow>`_
   * - :doc:`Galactic Geochelone <Releases/Release-Galactic-Geochelone>`
     - May 23, 2021
     - |galactic|
     - December 9, 2022
     - `Scott Logan <https://github.com/cottsay/>`_
   * - :doc:`Foxy Fitzroy <Releases/Release-Foxy-Fitzroy>`
     - June 5, 2020
     - |foxy|
     - June 20, 2023
     - `Jacob Perron <https://github.com/jacobperron>`_ / `Dharini Dutia <https://github.com/quarkytale>`_
   * - :doc:`Eloquent Elusor <Releases/Release-Eloquent-Elusor>`
     - November 22, 2019
     - |eloquent|
     - November 2020
     - `Michael Carroll <https://github.com/mjcarroll>`_
   * - :doc:`Dashing Diademata <Releases/Release-Dashing-Diademata>`
     - May 31, 2019
     - |dashing|
     - May 2021
     - `Steven! Ragnarök <https://github.com/nuclearsandwich>`_
   * - :doc:`Crystal Clemmys <Releases/Release-Crystal-Clemmys>`
     - December 14, 2018
     - |crystal|
     - December 2019
     - `Steven! Ragnarök <https://github.com/nuclearsandwich>`_
   * - :doc:`Bouncy Bolson <Releases/Release-Bouncy-Bolson>`
     - July 2, 2018
     - |bouncy|
     - July 2019
     - `Mikael Arguedas <https://github.com/mikaelarguedas>`_ / `Steven! Ragnarök <https://github.com/nuclearsandwich>`_
   * - :doc:`Ardent Apalone <Releases/Release-Ardent-Apalone>`
     - December 8, 2017
     - |ardent|
     - December 2018
     - `Steven! Ragnarök <https://github.com/nuclearsandwich>`_
   * - :doc:`beta3 <Releases/Beta3-Overview>`
     - September 13, 2017
     -
     - December 2017
     -
   * - :doc:`beta2 <Releases/Beta2-Overview>`
     - July 5, 2017
     -
     - September 2017
     -
   * - :doc:`beta1 <Releases/Beta1-Overview>`
     - December 19, 2016
     -
     - Jul 2017
     -
   * - :doc:`alpha1 - alpha8 <Releases/Alpha-Overview>`
     - August 31, 2015
     -
     - December 2016
     -

Future Distributions
--------------------

For details on upcoming features see the :doc:`roadmap <The-ROS2-Project/Roadmap>`.

There is a new ROS 2 distribution released yearly on May 23rd (`World Turtle Day <https://www.worldturtleday.org/>`_).

.. list-table::
   :class: future-distros
   :header-rows: 1
   :widths: 35 30 20 15

   * - Distro
     - Release date
     - Logo
     - EOL date
   * - :doc:`Kilted Kaiju <Releases/Release-Kilted-Kaiju>`
     - May 2025
     - TBD
     - Nov 2026


.. _rolling_distribution:

Rolling Distribution
--------------------

:doc:`ROS 2 Rolling Ridley <Releases/Release-Rolling-Ridley>` is the rolling development distribution of ROS 2.
It is described in `REP 2002 <https://www.ros.org/reps/rep-2002.html>`_ and was first introduced in June 2020.

The Rolling distribution of ROS 2 serves two purposes:

1. it is a staging area for future stable distributions of ROS 2, and
2. it is a collection of the most recent development releases.

As the name implies, Rolling is continuously updated and **can have in-place updates that include breaking changes**.
We recommend that most people use the most recent stable distribution instead (see :ref:`list_of_distributions`).

Packages released into the Rolling distribution will be automatically released into future stable distributions of ROS 2.
:doc:`Releasing a ROS 2 package <../How-To-Guides/Releasing/Releasing-a-Package>` into the Rolling distribution follows the same procedures as all other ROS 2 distributions.
",What is the purpose of the ROS Rolling distribution?
